Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,CID -> MSP,156,-13.0,133.0,0.19,0.0,"1,10,11,4,5,9"
9E,CLE -> DTW,529,-21.0,987.0,5.87,0.0113,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLE -> JFK,672,-17.0,991.0,14.06,0.0283,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLE -> MSP,261,-15.0,795.0,9.62,0.0038,"1,10,11,12,2,3,4,5,6,8"
9E,CLT -> ATL,76,-12.0,343.0,18.18,0.0,"1,11,12,6"
9E,CLT -> DTW,152,-18.0,403.0,8.58,0.0,"1,11,12,2,3,4,5,6,9"
9E,CLT -> LGA,1504,-18.0,1035.0,13.59,0.0426,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CMH -> LGA,22,-15.0,71.0,-1.36,0.0,"11,12,3,4"
9E,CVG -> ATL,1,9.0,9.0,9.0,0.0,12
9E,CVG -> DCA,994,-20.0,577.0,6.49,0.0121,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> DTW,1239,-16.0,394.0,6.94,0.004,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> EWR,809,-16.0,256.0,11.75,0.0371,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> FLL,7,-10.0,24.0,6.71,0.0,1
9E,CVG -> JFK,1036,-20.0,1056.0,10.14,0.0251,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CWA -> MSP,731,-18.0,386.0,3.56,0.0082,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DAY -> LGA,299,-18.0,343.0,5.76,0.0334,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DCA -> CVG,994,-23.0,1008.0,11.7,0.0121,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DCA -> RDU,944,-25.0,1032.0,16.77,0.0286,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DFW -> JFK,2,71.0,128.0,99.5,0.0,12
9E,DSM -> LGA,631,-18.0,421.0,9.32,0.0365,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> AGS,6,-11.0,-3.0,-6.0,0.0,4
