Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,ABY -> ATL,38,-19.0,332.0,9.53,0.0,"1,11,12,2,3"
9E,AEX -> ATL,878,-18.0,1005.0,14.56,0.0103,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AGS -> DCA,2,-2.0,107.0,52.5,0.0,4
9E,AGS -> DTW,6,-10.0,29.0,4.17,0.0,4
9E,AGS -> JFK,2,-6.0,35.0,14.5,0.0,4
9E,ALB -> DTW,435,-19.0,400.0,4.34,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ABE,1017,-25.0,349.0,4.59,0.0138,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ABY,39,-14.0,133.0,3.13,0.0,"1,11,12,2,3"
9E,ATL -> AEX,878,-32.0,790.0,5.78,0.0114,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> AGS,1582,-22.0,1135.0,7.49,0.0209,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> BHM,43,-10.0,87.0,1.19,0.0233,"1,12,2,3,4,5,6,7,8,9"
9E,ATL -> BQK,143,-16.0,199.0,5.47,0.0,"11,12,3,4,6,7"
9E,ATL -> CAE,711,-14.0,854.0,5.97,0.0056,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> CHO,866,-20.0,486.0,4.61,0.0092,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> CSG,596,-15.0,899.0,9.44,0.0285,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> DSM,4,-2.0,567.0,145.5,0.0,"11,12"
9E,ATL -> ECP,24,-10.0,215.0,27.08,0.0,1
9E,ATL -> EVV,704,-16.0,722.0,6.46,0.0099,"1,10,11,12,2,3,6,7,8,9"
9E,ATL -> EYW,158,-15.0,1196.0,48.64,0.0063,"1,12,2,3,4,5"
9E,ATL -> FWA,172,-22.0,578.0,7.56,0.0291,"1,11,2,3"
9E,ATL -> GNV,122,-10.0,313.0,6.37,0.0082,"1,11,12,3,4,6,7,8"
9E,ATL -> GSO,102,-13.0,364.0,8.68,0.0196,"1,10,11,12,2,3,4,9"
9E,ATL -> GTR,732,-23.0,602.0,5.2,0.0109,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> HSV,445,-15.0,268.0,5.64,0.018,"1,10,11,12,2,3,4,5,6,8"
9E,ATL -> JAN,249,-12.0,110.0,2.03,0.004,"1,10,11,12,2,9"
9E,ATL -> LEX,207,-20.0,256.0,5.92,0.0,"1,11,12,2,3,4,5"
9E,ATL -> MLU,869,-23.0,929.0,7.29,0.0092,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> MSP,1,-2.0,-2.0,-2.0,0.0,1
9E,ATL -> OKC,2,-5.0,-4.0,-4.5,0.0,"10,11"
9E,ATL -> PNS,34,-10.0,110.0,4.91,0.0,"1,12,2,3"
9E,ATL -> RDU,13,-10.0,43.0,3.17,0.0769,"6,7,8,9"
9E,ATL -> SBN,1,-5.0,-5.0,-5.0,0.0,11
9E,ATL -> SGF,636,-19.0,630.0,6.6,0.0031,"1,10,11,12,2,3,4,5,7,8,9"
9E,ATL -> SHV,1171,-20.0,672.0,3.86,0.0154,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> TLH,625,-18.0,356.0,5.69,0.024,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> TYS,1206,-17.0,832.0,9.57,0.0075,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATW -> DTW,21,-11.0,74.0,-2.29,0.0,"1,10,5,7"
9E,ATW -> MSP,147,-14.0,417.0,11.63,0.0,"4,5,6,7,8,9"
9E,AUS -> CVG,233,-21.0,1215.0,19.94,0.0043,"1,2,3,4,5,6,7"
9E,AUS -> MSP,1,-1.0,-1.0,-1.0,0.0,11
9E,AUS -> RDU,141,-15.0,162.0,7.88,0.0071,"1,2,3,4"
9E,AVL -> ATL,90,-28.0,213.0,9.17,0.0,"1,12,7"
9E,AVL -> LGA,585,-27.0,965.0,10.58,0.0239,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BDL -> LGA,236,-15.0,309.0,6.63,0.0424,"1,10,2,3,4,5,6,7,8,9"
9E,BGM -> DTW,359,-22.0,1067.0,12.46,0.0306,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BGM -> LGA,8,-8.0,107.0,11.57,0.125,1
9E,BGR -> LGA,904,-25.0,415.0,1.28,0.042,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BHM -> ATL,43,-13.0,733.0,24.76,0.0465,"1,12,2,3,4,5,6,7,8,9"
9E,BHM -> DTW,134,-14.0,235.0,7.09,0.0075,"1,10,12,2,3,4,5,6,7"
9E,BMI -> ATL,731,-16.0,578.0,7.53,0.0123,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BNA -> LGA,487,-22.0,1199.0,24.61,0.0637,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BOS -> CVG,7,-10.0,5.0,-3.71,0.0,1
9E,BTV -> DTW,249,-17.0,923.0,13.3,0.012,"10,11,12,5,6,7,8,9"
9E,BTV -> JFK,707,-23.0,768.0,9.99,0.0226,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BTV -> LGA,827,-30.0,528.0,8.62,0.0375,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BUF -> JFK,826,-15.0,981.0,10.01,0.0266,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BUF -> LGA,888,-21.0,860.0,9.01,0.0383,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CAE -> LGA,544,-15.0,375.0,4.52,0.0349,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CHO -> ATL,866,-25.0,760.0,8.31,0.0115,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CHS -> DTW,271,-14.0,308.0,11.42,0.0185,"10,11,12,6,7,8"
9E,CHS -> LGA,737,-16.0,733.0,13.05,0.0543,"1,11,12,2,3,4,5,6,7,8,9"
9E,CHS -> MSP,13,-5.0,179.0,28.85,0.0,12
9E,CID -> ATL,3,1.0,95.0,47.67,0.0,1
9E,CID -> DTW,1,-10.0,-10.0,-10.0,0.0,10
9E,CLE -> LGA,1022,-25.0,1126.0,18.07,0.0421,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLT -> JFK,1384,-20.0,975.0,16.45,0.0426,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLT -> MSP,20,-6.0,117.0,8.9,0.0,"10,11,12,6,7"
9E,CMH -> DTW,47,-13.0,266.0,14.32,0.0,"1,12,4,5,9"
9E,CMH -> JFK,5,-8.0,22.0,0.6,0.0,"10,12"
9E,CMH -> MSP,178,-13.0,348.0,10.14,0.0056,"1,11,12,3,4,5,6,8,9"
9E,CRW -> ATL,180,-20.0,117.0,1.87,0.0,"1,10,11,12,3,4,9"
9E,CSG -> ATL,595,-22.0,1206.0,9.29,0.0303,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> AUS,233,-14.0,267.0,3.1,0.0043,"1,2,3,4,5,6,7"
9E,CVG -> BOS,7,-10.0,0.0,-4.71,0.0,1
9E,CVG -> LGA,1559,-19.0,786.0,7.35,0.025,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> MSP,559,-18.0,594.0,6.75,0.0036,"1,10,11,12,2,3,4,5,6,9"
9E,CVG -> RDU,151,-17.0,214.0,14.99,0.0,"1,10,2,3,4,5,6,9"
9E,CVG -> RSW,19,-10.0,36.0,-0.63,0.0,"1,12"
9E,CVG -> TPA,6,-6.0,218.0,32.33,0.0,12
9E,DAY -> ATL,184,-12.0,565.0,11.97,0.0054,"1,11,12,2,3,4,5,6,7,8,9"
9E,DCA -> AGS,2,-10.0,-3.0,-6.5,0.0,4
9E,DCA -> DTW,52,-18.0,584.0,20.94,0.0,"1,2,3"
9E,DCA -> JFK,24,-8.0,285.0,27.67,0.0,"1,2,3,5,6"
9E,DCA -> MSP,2,-3.0,2.0,-0.5,0.0,1
9E,DHN -> ATL,536,-24.0,959.0,7.98,0.0056,"1,10,11,12,2,3,4,5,6,9"
9E,DLH -> MSP,189,-16.0,247.0,8.13,0.0106,"4,5,6,7,8,9"
9E,DSM -> ATL,4,1.0,1279.0,363.0,0.0,"11,12"
9E,DSM -> DTW,943,-19.0,456.0,5.65,0.0117,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DSM -> MSP,1017,-25.0,440.0,6.35,0.0108,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> AZO,13,-15.0,1.0,-5.54,0.0,1
9E,DTW -> BDL,122,-14.0,160.0,3.02,0.0082,"1,10,2,3,4,5,6,7"
9E,DTW -> BGM,359,-21.0,620.0,5.09,0.0279,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> BHM,133,-10.0,145.0,6.55,0.0075,"1,12,2,3,4,5,6,7"
9E,DTW -> CHA,323,-17.0,177.0,1.74,0.0062,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> CHS,271,-13.0,631.0,11.05,0.0185,"10,11,12,6,7,8"
9E,DTW -> CLT,151,-14.0,278.0,1.79,0.0,"1,11,12,2,3,4,5,6,9"
9E,DTW -> DSM,943,-21.0,668.0,5.28,0.0106,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> GRR,47,-14.0,143.0,1.02,0.0213,"1,11,2,3,4,5,6,7,8"
9E,DTW -> GSP,337,-18.0,711.0,2.28,0.0059,"10,11,12,4,5,6,7,8,9"
9E,DTW -> HPN,36,-13.0,40.0,-0.09,0.0278,"1,2,3,6"
9E,DTW -> HSV,145,-16.0,147.0,4.1,0.0069,"1,2,3,4,5,6,7"
9E,DTW -> JFK,780,-18.0,339.0,5.4,0.0064,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> LAN,145,-17.0,373.0,15.11,0.0207,"1,10,2,3,7,8,9"
9E,DTW -> LGA,7,-5.0,116.0,14.0,0.0,"1,10,12"
9E,DTW -> MBS,96,-14.0,221.0,4.9,0.0,"4,5,6,7,8"
9E,DTW -> MDT,60,-10.0,75.0,1.23,0.0,"1,2,3,4,5,6"
9E,DTW -> MQT,121,-16.0,151.0,4.44,0.0248,"1,2,3,5,6"
