Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,ABY -> ATL,76,-19.0,332.0,9.53,0.0,"1,11,12,2,3"
9E,AEX -> ATL,1756,-18.0,1005.0,14.56,0.0103,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AGS -> DCA,4,-2.0,107.0,52.5,0.0,4
9E,AGS -> DTW,12,-10.0,29.0,4.17,0.0,4
9E,AGS -> JFK,4,-6.0,35.0,14.5,0.0,4
9E,ALB -> DTW,870,-19.0,400.0,4.34,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ABE,2034,-25.0,349.0,4.59,0.0138,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ABY,78,-14.0,133.0,3.13,0.0,"1,11,12,2,3"
9E,ATL -> AEX,1756,-32.0,790.0,5.78,0.0114,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> AGS,3164,-22.0,1135.0,7.49,0.0209,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> BHM,86,-10.0,87.0,1.19,0.0233,"1,12,2,3,4,5,6,7,8,9"
9E,ATL -> BQK,286,-16.0,199.0,5.47,0.0,"11,12,3,4,6,7"
9E,ATL -> CAE,1422,-14.0,854.0,5.97,0.0056,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> CHO,1732,-20.0,486.0,4.61,0.0092,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> CSG,1192,-15.0,899.0,9.44,0.0285,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> DSM,8,-2.0,567.0,145.5,0.0,"11,12"
9E,ATL -> ECP,48,-10.0,215.0,27.08,0.0,1
9E,ATL -> EVV,1408,-16.0,722.0,6.46,0.0099,"1,10,11,12,2,3,6,7,8,9"
9E,ATL -> EYW,316,-15.0,1196.0,48.64,0.0063,"1,12,2,3,4,5"
9E,ATL -> FWA,344,-22.0,578.0,7.56,0.0291,"1,11,2,3"
9E,ATL -> GNV,244,-10.0,313.0,6.37,0.0082,"1,11,12,3,4,6,7,8"
9E,ATL -> GSO,204,-13.0,364.0,8.68,0.0196,"1,10,11,12,2,3,4,9"
9E,ATL -> GTR,1464,-23.0,602.0,5.2,0.0109,"1,10,11,12,2,3,4,5,6,7,8,9"
