Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,CID -> MSP,312,-13.0,133.0,0.19,0.0,"1,10,11,4,5,9"
9E,CLE -> DTW,1058,-21.0,987.0,5.87,0.0113,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLE -> JFK,1344,-17.0,991.0,14.06,0.0283,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLE -> MSP,522,-15.0,795.0,9.62,0.0038,"1,10,11,12,2,3,4,5,6,8"
9E,CLT -> ATL,152,-12.0,343.0,18.18,0.0,"1,11,12,6"
9E,CLT -> DTW,304,-18.0,403.0,8.58,0.0,"1,11,12,2,3,4,5,6,9"
9E,CLT -> LGA,3008,-18.0,1035.0,13.59,0.0426,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CMH -> LGA,44,-15.0,71.0,-1.36,0.0,"11,12,3,4"
9E,CVG -> ATL,2,9.0,9.0,9.0,0.0,12
9E,CVG -> DCA,1988,-20.0,577.0,6.49,0.0121,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> DTW,2478,-16.0,394.0,6.94,0.004,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> EWR,1618,-16.0,256.0,11.75,0.0371,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CVG -> FLL,14,-10.0,24.0,6.71,0.0,1
9E,CVG -> JFK,2072,-20.0,1056.0,10.14,0.0251,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CWA -> MSP,1462,-18.0,386.0,3.56,0.0082,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DAY -> LGA,598,-18.0,343.0,5.76,0.0334,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DCA -> CVG,1988,-23.0,1008.0,11.7,0.0121,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DCA -> RDU,1888,-25.0,1032.0,16.77,0.0286,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DFW -> JFK,4,71.0,128.0,99.5,0.0,12
9E,DSM -> LGA,1262,-18.0,421.0,9.32,0.0365,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> AGS,12,-11.0,-3.0,-6.0,0.0,4
9E,DTW -> ALB,870,-15.0,132.0,0.66,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> ATW,38,-14.0,106.0,1.0,0.0,"1,10,5"
9E,DTW -> BTV,496,-14.0,950.0,6.62,0.0121,"10,11,12,5,6,7,8,9"
9E,DTW -> BUF,422,-15.0,156.0,2.19,0.0142,"1,10,11,12,3,4,5,6,7,8,9"
9E,DTW -> CID,2,-4.0,-4.0,-4.0,0.0,10
9E,DTW -> CLE,1058,-14.0,268.0,5.33,0.0113,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> CMH,94,-18.0,87.0,3.43,0.0,"1,12,4,5,9"
9E,DTW -> CVG,2478,-17.0,702.0,5.52,0.004,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> DCA,104,-13.0,650.0,11.5,0.0,"1,2,3"
9E,DTW -> GRB,28,-14.0,5.0,-4.93,0.0,"1,10"
9E,DTW -> GSO,956,-17.0,154.0,1.26,0.0126,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> IAD,314,-14.0,170.0,4.34,0.0,"1,10,11,12,2,3,4,9"
9E,DTW -> IND,1052,-14.0,230.0,3.49,0.0019,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> LEX,16,-9.0,130.0,13.75,0.0,"1,12"
9E,DTW -> MCI,100,-10.0,166.0,2.76,0.0,"1,10,11,2,3,4,5"
9E,DTW -> MEM,552,-15.0,227.0,1.01,0.0109,"1,10,11,12,2,4,6,7,8,9"
9E,DTW -> MKE,20,-10.0,-3.0,-5.8,0.0,"1,10,11,4,5,9"
9E,DTW -> MSY,4,-5.0,23.0,9.0,0.0,1
9E,DTW -> OMA,142,-12.0,46.0,-3.23,0.0,"1,10,11,2,3"
9E,DTW -> ORD,16,-6.0,90.0,8.0,0.0,"1,11,6,7"
9E,DTW -> ORF,1084,-19.0,669.0,6.69,0.0018,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> PVD,668,-18.0,681.0,9.93,0.018,"1,10,11,12,2,3,4,5,6"
9E,DTW -> RDU,104,-11.0,164.0,6.17,0.0,"1,2,3,4"
9E,DTW -> RIC,588,-15.0,718.0,7.48,0.0238,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> ROC,1716,-24.0,292.0,2.52,0.007,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> SBN,2,-5.0,-5.0,-5.0,0.0,12
9E,DTW -> TVC,282,-13.0,144.0,3.44,0.0,"1,11,4,5,6,7,8,9"
9E,ECP -> ATL,48,-11.0,275.0,36.92,0.0,1
9E,EWR -> CVG,1618,-28.0,1102.0,25.37,0.0383,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,EWR -> RDU,1648,-19.0,1108.0,19.31,0.0388,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,EYW -> ATL,316,-13.0,553.0,22.01,0.019,"1,12,2,3,4,5"
9E,EYW -> BNA,2,66.0,66.0,66.0,0.0,5
9E,FAY -> ATL,698,-18.0,961.0,15.17,0.0,"1,10,11,12,2,3,4,5,6,9"
9E,FLL -> CVG,14,-11.0,52.0,14.29,0.0,1
9E,FSD -> ATL,6,-7.0,81.0,23.67,0.0,1
9E,FSD -> MSP,702,-19.0,421.0,7.18,0.0085,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,FWA -> MSP,124,-19.0,349.0,6.44,0.0484,"1,2,3"
9E,GFK -> MSP,172,-18.0,496.0,20.15,0.0,"1,12,2,3,9"
9E,GRB -> MSP,116,-13.0,336.0,3.48,0.0,"1,4,5"
9E,GRR -> DTW,92,-16.0,199.0,3.31,0.0217,"1,11,2,3,4,5,6,7,8"
9E,GRR -> LGA,1574,-15.0,420.0,3.92,0.047,"1,10,11,2,3,4,5,6,7,8,9"
9E,GRR -> MSP,208,-20.0,345.0,9.21,0.0,"10,11,12,4,5,6,7,8"
9E,GSO -> LGA,1958,-17.0,891.0,5.15,0.0358,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,HPN -> ATL,1840,-17.0,894.0,11.3,0.0141,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,HSV -> ATL,888,-22.0,256.0,5.64,0.018,"1,10,11,12,2,3,4,5,6,8"
9E,HSV -> DTW,290,-16.0,999.0,12.78,0.0069,"1,2,3,4,5,6,7"
9E,HSV -> OKC,2,-1.0,-1.0,-1.0,0.0,11
9E,ICT -> ATL,312,-28.0,210.0,5.9,0.0,"1,11,12,2,3"
9E,ITH -> JFK,1454,-19.0,1098.0,8.04,0.0289,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JAX -> JFK,930,-14.0,261.0,6.09,0.0387,"1,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> AGS,4,-9.0,-4.0,-6.5,0.0,4
9E,JFK -> BGR,716,-25.0,824.0,16.73,0.0587,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> BNA,338,-12.0,172.0,4.26,0.0296,"1,2,3,4,5,6"
9E,JFK -> BWI,1000,-13.0,613.0,9.4,0.052,"1,10,2,3,4,5,6,7,8,9"
9E,JFK -> CHS,1932,-21.0,793.0,5.98,0.0393,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> CLT,2762,-18.0,414.0,8.32,0.0377,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> DTW,1572,-17.0,402.0,4.97,0.0051,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> ITH,1454,-21.0,1089.0,8.66,0.0344,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> JAX,942,-16.0,910.0,9.28,0.051,"1,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> MSP,476,-12.0,206.0,8.19,0.0126,"1,12,2,3,4,5,6"
9E,JFK -> ORF,1570,-19.0,747.0,9.64,0.0459,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> PIT,1102,-21.0,396.0,5.16,0.0272,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> RIC,1112,-14.0,331.0,4.65,0.0324,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> SDF,2,1.0,1.0,1.0,0.0,5
9E,LEX -> ATL,412,-21.0,176.0,5.31,0.0,"1,11,12,2,3,4,5"
9E,LEX -> DTW,18,-11.0,0.0,-6.11,0.0,"1,12"
9E,LGA -> AGS,22,-12.0,56.0,3.73,0.0,4
