Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,DCA -> CVG,506,-23.0,735.0,9.1,0.0079,"1,2,3,4,5,6,7"
9E,DCA -> RDU,480,-25.0,867.0,12.79,0.0229,"1,2,3,4,5,6,7"
9E,DSM -> LGA,330,-16.0,421.0,10.52,0.0394,"1,2,3,4,5,6,7"
9E,DTW -> AGS,6,-11.0,-3.0,-6.0,0.0,4
9E,DTW -> ALB,271,-15.0,132.0,1.35,0.0037,"1,2,3,4,5,6"
9E,DTW -> ATW,14,-14.0,106.0,4.14,0.0,"1,5"
9E,DTW -> BTV,53,-11.0,102.0,8.21,0.0,"5,6"
9E,DTW -> BUF,121,-15.0,142.0,1.42,0.0083,"1,3,4,5,6"
9E,DTW -> CLE,271,-14.0,268.0,6.85,0.0,"1,2,3,4,5,6"
9E,DTW -> CMH,34,-13.0,71.0,-0.71,0.0,"1,4,5"
9E,DTW -> CVG,571,-14.0,702.0,8.73,0.0035,"1,2,3,4,5,6,7"
9E,DTW -> DCA,52,-13.0,650.0,11.5,0.0,"1,2,3"
9E,DTW -> GRB,13,-14.0,-1.0,-5.69,0.0,1
9E,DTW -> GSO,165,-16.0,119.0,0.19,0.0061,"1,2,3,4,5,6,7"
9E,DTW -> IAD,135,-14.0,170.0,5.21,0.0,"1,2,3,4"
9E,DTW -> IND,235,-10.0,179.0,4.14,0.0,"1,2,3,4,5,6,7"
9E,DTW -> LEX,7,-9.0,10.0,-2.86,0.0,1
9E,DTW -> MCI,48,-10.0,166.0,3.29,0.0,"1,2,3,4,5"
9E,DTW -> MEM,61,-11.0,227.0,6.75,0.0328,"1,2,4,6,7"
9E,DTW -> MKE,7,-7.0,-3.0,-4.57,0.0,"1,4,5"
9E,DTW -> MSY,2,-5.0,23.0,9.0,0.0,1
9E,DTW -> OMA,46,-10.0,39.0,-2.43,0.0,"1,2,3"
9E,DTW -> ORD,4,-5.0,90.0,20.0,0.0,"1,6,7"
9E,DTW -> ORF,349,-19.0,669.0,10.28,0.0029,"1,2,3,4,5,6,7"
9E,DTW -> PVD,231,-15.0,681.0,15.56,0.026,"1,2,3,4,5,6"
9E,DTW -> RDU,52,-11.0,164.0,6.17,0.0,"1,2,3,4"
9E,DTW -> RIC,100,-15.0,174.0,2.75,0.0,"1,2,3,4,5,6"
9E,DTW -> ROC,418,-24.0,292.0,5.19,0.0096,"1,2,3,4,5,6,7"
9E,DTW -> TVC,75,-10.0,137.0,4.8,0.0,"1,4,5,6,7"
9E,ECP -> ATL,24,-11.0,275.0,36.92,0.0,1
9E,EWR -> CVG,410,-28.0,1026.0,18.55,0.0341,"1,2,3,4,5,6,7"
9E,EWR -> RDU,409,-19.0,1108.0,15.19,0.0269,"1,2,3,4,5,6,7"
9E,EYW -> ATL,133,-13.0,553.0,16.9,0.0,"1,2,3,4,5"
9E,EYW -> BNA,1,66.0,66.0,66.0,0.0,5
9E,FAY -> ATL,119,-13.0,263.0,8.79,0.0,"1,2,3,4,5,6"
9E,FLL -> CVG,7,-11.0,52.0,14.29,0.0,1
9E,FSD -> ATL,3,-7.0,81.0,23.67,0.0,1
9E,FSD -> MSP,200,-15.0,421.0,6.82,0.01,"1,2,3,4,5,6,7"
9E,FWA -> MSP,62,-19.0,349.0,6.44,0.0484,"1,2,3"
9E,GFK -> MSP,50,-18.0,139.0,4.54,0.0,"1,2,3"
9E,GRB -> MSP,58,-13.0,336.0,3.48,0.0,"1,4,5"
9E,GRR -> DTW,29,-16.0,199.0,7.14,0.0,"1,2,3,4,5,6"
9E,GRR -> LGA,460,-14.0,420.0,2.62,0.0413,"1,2,3,4,5,6,7"
9E,GRR -> MSP,58,-20.0,345.0,7.38,0.0,"4,5,6"
9E,GSO -> LGA,513,-17.0,243.0,2.48,0.0292,"1,2,3,4,5,6,7"
9E,HPN -> ATL,463,-14.0,894.0,13.41,0.0065,"1,2,3,4,5,6,7"
9E,HSV -> ATL,302,-22.0,256.0,7.41,0.0199,"1,2,3,4,5,6"
9E,HSV -> DTW,144,-16.0,999.0,12.92,0.0069,"1,2,3,4,5,6"
9E,ICT -> ATL,118,-28.0,86.0,3.58,0.0,"1,2,3"
9E,ITH -> JFK,368,-18.0,427.0,6.48,0.0353,"1,2,3,4,5,6,7"
9E,JAX -> JFK,240,-12.0,157.0,6.06,0.025,"1,2,3,4,5,6,7"
9E,JFK -> AGS,2,-9.0,-4.0,-6.5,0.0,4
9E,JFK -> BGR,177,-22.0,824.0,24.75,0.0621,"1,2,3,4,5,6,7"
9E,JFK -> BNA,169,-12.0,172.0,4.26,0.0296,"1,2,3,4,5,6"
9E,JFK -> BWI,274,-12.0,613.0,6.84,0.0365,"1,2,3,4,5,6,7"
9E,JFK -> CHS,455,-17.0,231.0,5.37,0.0374,"1,2,3,4,5,6,7"
9E,JFK -> CLT,604,-18.0,333.0,6.36,0.0381,"1,2,3,4,5,6,7"
9E,JFK -> DTW,410,-14.0,402.0,5.84,0.0049,"1,2,3,4,5,6,7"
9E,JFK -> ITH,368,-21.0,578.0,6.48,0.0408,"1,2,3,4,5,6,7"
9E,JFK -> JAX,241,-14.0,257.0,6.5,0.0373,"1,2,3,4,5,6,7"
9E,JFK -> MSP,236,-12.0,206.0,8.16,0.0127,"1,2,3,4,5,6"
9E,JFK -> ORF,355,-15.0,747.0,13.28,0.031,"1,2,3,4,5,6,7"
9E,JFK -> PIT,236,-21.0,396.0,4.31,0.0169,"1,2,3,4,5,6,7"
9E,JFK -> RIC,329,-12.0,331.0,5.35,0.0182,"1,2,3,4,5,6,7"
9E,JFK -> SDF,1,1.0,1.0,1.0,0.0,5
9E,LEX -> ATL,141,-21.0,176.0,1.55,0.0,"1,2,3,4,5"
9E,LEX -> DTW,8,-11.0,0.0,-6.25,0.0,1
9E,LGA -> AGS,11,-12.0,56.0,3.73,0.0,4
9E,LGA -> ALB,337,-22.0,382.0,7.97,0.0326,"1,2,3,4,5,6,7"
9E,LGA -> BDL,153,-17.0,155.0,6.73,0.0327,"1,2,3,4,5,6,7"
9E,LGA -> BGM,8,-21.0,95.0,8.14,0.125,1
9E,LGA -> BGR,394,-18.0,1010.0,12.6,0.0406,"1,2,3,4,5,6,7"
9E,LGA -> BHM,464,-18.0,377.0,8.64,0.0323,"1,2,3,4,5,6,7"
9E,LGA -> BNA,294,-14.0,127.0,6.26,0.034,"1,2,3,4,5,6,7"
9E,LGA -> BUF,483,-16.0,266.0,7.83,0.0518,"1,2,3,4,5,6,7"
9E,LGA -> CAE,216,-18.0,278.0,10.11,0.0324,"1,2,3,4,5,6,7"
9E,LGA -> CLE,570,-17.0,329.0,6.1,0.0351,"1,2,3,4,5,6,7"
9E,LGA -> CMH,5,-6.0,11.0,0.6,0.0,"3,4"
9E,LGA -> CVG,778,-19.0,388.0,11.51,0.0244,"1,2,3,4,5,6,7"
