Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,ABY -> ATL,8,-9.0,332.0,47.5,0.0,"1,2,3"
9E,AEX -> ATL,387,-17.0,1005.0,12.64,0.0052,"1,2,3,4,5,6,7"
9E,AGS -> DCA,2,-2.0,107.0,52.5,0.0,4
9E,AGS -> DTW,6,-10.0,29.0,4.17,0.0,4
9E,AGS -> JFK,2,-6.0,35.0,14.5,0.0,4
9E,ALB -> DTW,271,-17.0,316.0,4.35,0.0037,"1,2,3,4,5,6"
9E,ATL -> ABE,513,-25.0,318.0,3.93,0.0058,"1,2,3,4,5,6,7"
9E,ATL -> ABY,8,-14.0,-3.0,-8.13,0.0,"1,2,3"
9E,ATL -> AEX,387,-32.0,197.0,2.02,0.0052,"1,2,3,4,5,6,7"
9E,ATL -> AGS,743,-18.0,551.0,4.61,0.0013,"1,2,3,4,5,6,7"
9E,ATL -> BHM,33,-10.0,42.0,-0.09,0.0303,"1,2,3,4,5,6"
9E,ATL -> BQK,64,-16.0,105.0,0.61,0.0,"3,4,6"
9E,ATL -> CAE,283,-14.0,225.0,6.31,0.0,"1,2,3,4,5,6,7"
9E,ATL -> CHO,403,-20.0,486.0,5.62,0.0074,"1,2,3,4,5,6,7"
9E,ATL -> CSG,113,-13.0,147.0,6.31,0.0,"1,2,3,4,5,6,7"
9E,ATL -> ECP,24,-10.0,215.0,27.08,0.0,1
9E,ATL -> EVV,244,-16.0,578.0,5.14,0.0082,"1,2,3,6,7"
9E,ATL -> EYW,132,-15.0,1196.0,36.48,0.0,"1,2,3,4,5"
9E,ATL -> FWA,171,-22.0,578.0,7.62,0.0292,"1,2,3"
9E,ATL -> GNV,81,-10.0,313.0,2.64,0.0,"1,3,4,6"
9E,ATL -> GSO,67,-11.0,85.0,6.69,0.0299,"1,2,3,4"
9E,ATL -> GTR,368,-20.0,602.0,4.86,0.0163,"1,2,3,4,5,6,7"
9E,ATL -> HSV,302,-15.0,268.0,7.05,0.0199,"1,2,3,4,5,6"
9E,ATL -> JAN,14,-12.0,-1.0,-4.57,0.0,"1,2"
9E,ATL -> LEX,140,-15.0,173.0,3.64,0.0,"1,2,3,4,5"
9E,ATL -> MLU,387,-21.0,929.0,8.08,0.0052,"1,2,3,4,5,6,7"
9E,ATL -> MSP,1,-2.0,-2.0,-2.0,0.0,1
9E,ATL -> PNS,17,-10.0,42.0,-0.82,0.0,"1,2,3"
9E,ATL -> RDU,4,-10.0,-2.0,-5.25,0.0,6
9E,ATL -> SGF,229,-19.0,630.0,11.44,0.0,"1,2,3,4,5"
9E,ATL -> SHV,570,-20.0,672.0,4.14,0.0105,"1,2,3,4,5,6,7"
9E,ATL -> TLH,278,-14.0,356.0,6.53,0.0,"1,2,3,4,5,6,7"
9E,ATL -> TYS,582,-17.0,614.0,7.0,0.0103,"1,2,3,4,5,6,7"
9E,ATW -> DTW,15,-11.0,74.0,-1.0,0.0,"1,5"
9E,ATW -> MSP,136,-13.0,417.0,11.64,0.0,"4,5,6"
9E,AUS -> CVG,226,-21.0,1215.0,18.36,0.0,"1,2,3,4,5,6,7"
9E,AUS -> RDU,141,-15.0,162.0,7.88,0.0071,"1,2,3,4"
9E,AVL -> ATL,17,-13.0,213.0,12.0,0.0,1
9E,AVL -> LGA,257,-22.0,856.0,13.91,0.0078,"1,2,3,4,5,6,7"
9E,BDL -> LGA,153,-15.0,178.0,3.25,0.0261,"1,2,3,4,5,6,7"
9E,BGM -> DTW,177,-22.0,1067.0,18.69,0.0226,"1,2,3,4,5,6,7"
9E,BGM -> LGA,8,-8.0,107.0,11.57,0.125,1
9E,BGR -> LGA,394,-20.0,415.0,4.2,0.0457,"1,2,3,4,5,6,7"
9E,BHM -> ATL,33,-10.0,125.0,3.25,0.0303,"1,2,3,4,5,6"
